Item,Reference(s),Value,Quantity,Description,PartNumber,Vendor
1,C1 C2,10uF,2,CAP CER 10UF 50V 10% X7S 1210,445-4536-1-ND,digikey
2,C10 C11 C3 C4 C5 C6 C7 C8 C9,0.1uF,9,CAP CER 0.1UF 50V 10% X7R 1210,478-3586-1-ND,digikey
3,HPS1 HPS2 HPS3 HPS4 HPS5 HPS6 HPS7 HPS8,BTS3256,8,IC SWITCH SMART LOWSIDE TO252-5,BTS3256DAUMA1CT-ND,digikey
4,L1 L10 L11 L13 L14 L16 L17 L19 L20 L22 L23 L25 L26 L4 L5 L7 L8,LED_24V,17,LED 2MM 24V VERTICAL RED PC MNT,350-1723-ND,digikey
5,L12 L15 L18 L2 L21 L24 L3 L6 L9,LED_5V_GRN,9,LED 2MM 5V VERTICAL GREEN PC MNT,350-1726-ND,digikey
6,MDB1,MODULAR_DEVICE_BASE_5x3_MALE,2,25 Positions Header Breakaway Connector 0.1in,S1011E-25-ND,digikey
7,R1 R2 R3 R4 R5 R6 R7 R8,5.9k,8,RES SMD 5.9k OHM 1% 1/2W 1210,P5.90KAACT-ND,digikey
8,T1 T11 T13 T15 T3 T5 T7 T9,TERM_BLK_HDR_2POS_VERT_0.2IN,8,TERM BLOCK HDR 2POS VERT 5.08MM,277-1150-ND,digikey
9,T10 T12 T14 T16 T2 T4 T6 T8,TERM_BLK_HDR_4POS_VERT_0.2IN,8,TERM BLOCK HDR 4POS VERT 5.08MM,277-1152-ND,digikey
10,U1,SN74ABT541BDWR,1,Buffer Non-Inverting 1 Element 8 Bit per Element Push-Pull Output 20-SOIC,296-14668-1-ND,digikey
